Date,Symbol,Open,High,Low,Close,Volume
1975-04-30,SET,100.0,100.0,100.0,100.0,163310
1975-05-02,SET,99.96,99.96,99.96,99.96,150220
1975-05-06,SET,99.53,99.53,99.53,99.53,260100
1975-05-07,SET,99.13,99.13,99.13,99.13,35480
1975-05-08,SET,97.88,97.88,97.88,97.88,52500
1975-05-09,SET,96.64,96.64,96.64,96.64,157050
1975-05-12,SET,95.37,95.37,95.37,95.37,16000
1975-05-13,SET,92.55,92.55,92.55,92.55,62000
1975-05-14,SET,92.11,92.11,92.11,92.11,581260
1975-05-15,SET,90.32,90.32,90.32,90.32,42120
1975-05-16,SET,89.45,89.45,89.45,89.45,78720
1975-05-19,SET,87.11,87.11,87.11,87.11,31420
1975-05-20,SET,85.73,85.73,85.73,85.73,146370
1975-05-21,SET,85.73,85.73,85.73,85.73,161900
1975-05-22,SET,90.94,90.94,90.94,90.94,181000
1975-05-23,SET,91.91,91.91,91.91,91.91,167000
1975-05-26,SET,90.69,90.69,90.69,90.69,123720
1975-05-27,SET,88.89,88.89,88.89,88.89,631000
1975-05-28,SET,89.57,89.57,89.57,89.57,38570
1975-05-29,SET,89.98,89.98,89.98,89.98,126080
1975-05-30,SET,89.98,89.98,89.98,89.98,52000
1975-06-02,SET,89.53,89.53,89.53,89.53,27260
1975-06-03,SET,89.53,89.53,89.53,89.53,22000
1975-06-04,SET,89.42,89.42,89.42,89.42,18610
1975-06-05,SET,89.56,89.56,89.56,89.56,56890
1975-06-06,SET,89.55,89.55,89.55,89.55,59500
1975-06-09,SET,89.54,89.54,89.54,89.54,47900
1975-06-10,SET,89.54,89.54,89.54,89.54,23000
1975-06-11,SET,89.99,89.99,89.99,89.99,37170
1975-06-12,SET,90.03,90.03,90.03,90.03,81000
1975-06-13,SET,90.19,90.19,90.19,90.19,61550
1975-06-16,SET,90.61,90.61,90.61,90.61,43000
1975-06-17,SET,90.91,90.91,90.91,90.91,29350
1975-06-18,SET,90.79,90.79,90.79,90.79,514850
1975-06-19,SET,90.79,90.79,90.79,90.79,41580
1975-06-20,SET,90.71,90.71,90.71,90.71,175300
1975-06-23,SET,90.89,90.89,90.89,90.89,97320
1975-06-24,SET,90.96,90.96,90.96,90.96,35000
1975-06-25,SET,91.38,91.38,91.38,91.38,82500
1975-06-26,SET,91.12,91.12,91.12,91.12,207500
1975-06-27,SET,91.27,91.27,91.27,91.27,69660
1975-06-30,SET,91.64,91.64,91.64,91.64,73790
1975-07-02,SET,91.9,91.9,91.9,91.9,64330
1975-07-03,SET,92.67,92.67,92.67,92.67,261040
1975-07-04,SET,93.93,93.93,93.93,93.93,94200
1975-07-07,SET,95.18,95.18,95.18,95.18,210390
1975-07-08,SET,94.87,94.87,94.87,94.87,123910
